DATA_REF,FROTA_LOCADA
2024-06-23,24030
2024-06-22,24254
2024-06-21,22362
2024-06-20,22118
2024-06-19,22052
2024-06-18,21647
2024-06-17,21389
2024-06-16,24433
2024-06-15,25078
2024-06-14,23587
2024-06-13,23601
2024-06-12,23113
2024-06-11,22764
2024-06-10,22506
2024-06-09,25035
2024-06-08,25098
2024-06-07,23176
2024-06-06,22871
2024-06-05,22493
2024-06-04,21544
2024-06-03,21660
2024-06-02,26788
2024-06-01,28670
2024-05-31,27313
2024-05-30,25198
2024-05-29,21656
2024-05-28,20726
2024-05-27,21260
2024-05-26,24925
2024-05-25,25916
2024-05-24,24508
2024-05-23,24524
2024-05-22,24189
2024-05-21,23409
2024-05-20,23197
2024-05-19,26328
2024-05-18,26722
2024-05-17,24351
2024-05-16,24139
2024-05-15,23740
2024-05-14,23034
2024-05-13,23736
2024-05-12,28569
2024-05-11,28130
2024-05-10,24824
2024-05-09,24423
2024-05-08,23857
2024-05-07,22661
2024-05-06,22274
2024-05-05,25050
2024-05-04,25486
2024-05-03,22757
2024-05-02,21977
2024-05-01,21324
2024-04-30,20347
2024-04-29,21119
2024-04-28,24665
2024-04-27,25009
2024-04-26,22867
2024-04-25,22923
2024-04-24,22895
2024-04-23,22484
2024-04-22,22343
2024-04-21,24837
2024-04-20,25263
2024-04-19,23952
2024-04-18,24670
2024-04-17,24891
2024-04-16,24713
2024-04-15,24659
2024-04-14,27370
2024-04-13,27675
2024-04-12,26216
2024-04-11,26221
2024-04-10,25852
2024-04-09,25053
2024-04-08,24738
2024-04-07,27278
2024-04-06,27509
2024-04-05,25147
2024-04-04,24064
2024-04-03,22781
2024-04-02,21694
2024-04-01,22432
2024-03-31,24213
2024-03-30,29533
2024-03-29,28220
2024-03-28,24824
2024-03-27,23374
2024-03-26,23172
2024-03-25,23493
2024-03-24,25425
2024-03-23,26206
2024-03-22,26875
2024-03-21,27814
2024-03-20,27785
2024-03-19,27384
2024-03-18,26791
2024-03-17,29036
2024-03-16,29305
2024-03-15,28174
2024-03-14,28492
2024-03-13,28241
2024-03-12,27487
2024-03-11,26917
2024-03-10,29363
2024-03-09,29725
2024-03-08,28246
2024-03-07,28444
2024-03-06,27800
2024-03-05,26687
2024-03-04,26024
2024-03-03,28217
2024-03-02,28355
2024-03-01,26287
2024-02-29,25495
2024-02-28,26456
2024-02-27,26190
2024-02-26,25984
2024-02-25,28231
2024-02-24,28590
2024-02-23,27751
2024-02-22,28233
2024-02-21,28025
2024-02-20,27243
2024-02-19,25917
2024-02-18,26239
2024-02-17,26744
2024-02-16,24906
2024-02-15,23979
2024-02-14,25954
2024-02-13,30865
2024-02-12,33014
2024-02-11,33608
2024-02-10,31980
2024-02-09,26765
2024-02-08,25773
2024-02-07,26026
2024-02-06,25792
2024-02-05,25681
2024-02-04,27353
2024-02-03,27984
2024-02-02,26616
2024-02-01,26502
2024-01-31,25819
2024-01-30,26334
2024-01-29,26717
2024-01-28,29663
2024-01-27,30690
2024-01-26,30273
2024-01-25,30426
2024-01-24,29408
2024-01-23,28937
2024-01-22,29201
2024-01-21,31712
2024-01-20,31855
2024-01-19,29946
2024-01-18,29443
2024-01-17,28957
2024-01-16,28251
2024-01-15,28248
2024-01-14,30308
2024-01-13,30382
2024-01-12,28736
2024-01-11,27917
2024-01-10,27158
2024-01-09,26187
2024-01-08,26230
2024-01-07,28320
2024-01-06,28768
2024-01-05,26729
2024-01-04,25905
2024-01-03,26281
2024-01-02,30124
2024-01-01,35462
2023-12-31,36005
2023-12-30,34420
2023-12-29,30142
2023-12-28,27575
2023-12-27,27094
2023-12-26,29376
2023-12-25,33449
2023-12-24,32693
2023-12-23,31046
2023-12-22,26178
2023-12-21,24751
2023-12-20,24707
2023-12-19,24460
2023-12-18,24871
2023-12-17,27628
2023-12-16,28009
2023-12-15,26009
2023-12-14,25741
2023-12-13,25590
2023-12-12,24806
2023-12-11,24607
2023-12-10,27584
2023-12-09,28352
2023-12-08,26939
2023-12-07,25988
2023-12-06,25357
2023-12-05,24622
2023-12-04,24260
2023-12-03,26747
2023-12-02,27138
2023-12-01,25427
2023-11-30,24577
2023-11-29,25240
2023-11-28,24801
2023-11-27,24537
2023-11-26,26486
2023-11-25,27305
2023-11-24,26770
2023-11-23,26630
2023-11-22,26092
2023-11-21,25681
2023-11-20,27041
2023-11-19,28867
2023-11-18,29120
2023-11-17,27033
2023-11-16,26444
2023-11-15,26125
2023-11-14,25098
2023-11-13,25405
2023-11-12,27843
2023-11-11,28247
2023-11-10,26956
2023-11-09,27018
2023-11-08,26354
2023-11-07,25241
2023-11-06,24318
2023-11-05,26924
2023-11-04,28219
2023-11-03,27095
2023-11-02,25745
2023-11-01,23391
2023-10-31,22388
2023-10-30,23421
2023-10-29,26425
2023-10-28,27143
2023-10-27,26452
2023-10-26,26900
2023-10-25,26786
2023-10-24,26208
2023-10-23,25753
2023-10-22,27598
2023-10-21,27922
2023-10-20,26721
2023-10-19,26402
2023-10-18,25469
2023-10-17,24208
2023-10-16,23470
2023-10-15,26606
2023-10-14,28207
2023-10-13,27164
2023-10-12,25832
2023-10-11,23767
2023-10-10,23457
2023-10-09,23360
2023-10-08,25732
2023-10-07,26174
2023-10-06,24483
2023-10-05,24273
2023-10-04,23746
2023-10-03,22836
2023-10-02,22285
2023-10-01,24413
2023-09-30,24888
2023-09-29,23901
2023-09-28,24188
2023-09-27,24073
2023-09-26,23247
2023-09-25,23186
2023-09-24,25712
2023-09-23,26521
2023-09-22,25134
2023-09-21,25435
2023-09-20,25176
2023-09-19,24444
2023-09-18,23733
2023-09-17,26046
2023-09-16,26246
2023-09-15,24788
2023-09-14,24586
2023-09-13,23880
2023-09-12,22603
2023-09-11,22349
2023-09-10,26618
2023-09-09,28502
2023-09-08,27727
2023-09-07,26127
2023-09-06,22871
2023-09-05,21614
2023-09-04,21464
2023-09-03,23904
2023-09-02,24181
2023-09-01,21894
2023-08-31,21836
2023-08-30,22348
2023-08-29,21792
2023-08-28,21488
2023-08-27,23663
2023-08-26,24591
2023-08-25,24461
2023-08-24,24997
2023-08-23,24827
2023-08-22,23803
2023-08-21,23393
2023-08-20,26179
2023-08-19,26757
2023-08-18,25455
2023-08-17,25073
2023-08-16,24467
2023-08-15,23676
2023-08-14,23753
2023-08-13,27091
2023-08-12,27357
2023-08-11,25056
2023-08-10,24667
2023-08-09,24083
2023-08-08,23151
2023-08-07,22339
2023-08-06,24926
2023-08-05,25123
2023-08-04,22602
2023-08-03,21710
2023-08-02,20694
2023-08-01,19568
2023-07-31,19470
2023-07-30,22742
2023-07-29,23297
2023-07-28,22250
2023-07-27,22336
2023-07-26,22060
2023-07-25,21507
2023-07-24,21450
2023-07-23,24406
2023-07-22,25030
2023-07-21,23619
2023-07-20,23405
2023-07-19,23010
2023-07-18,22248
2023-07-17,21838
2023-07-16,23766
2023-07-15,23852
2023-07-14,22001
2023-07-13,21731
2023-07-12,21630
2023-07-11,21001
2023-07-10,20684
2023-07-09,22800
2023-07-08,23008
2023-07-07,21355
2023-07-06,20963
2023-07-05,20464
2023-07-04,19819
2023-07-03,19657
2023-07-02,21715
2023-07-01,20427
2023-06-30,20255
2023-06-29,20228
2023-06-28,20112
2023-06-27,19687
2023-06-26,19628
2023-06-25,22094
2023-06-24,22527
2023-06-23,21264
2023-06-22,21437
2023-06-21,21255
2023-06-20,20623
2023-06-19,20069
2023-06-18,21432
2023-06-17,21796
2023-06-16,21316
2023-06-15,21995
2023-06-14,21650
2023-06-13,20997
2023-06-12,20969
2023-06-11,24795
2023-06-10,26700
2023-06-09,25074
2023-06-08,22839
2023-06-07,20347
2023-06-06,19569
2023-06-05,19714
2023-06-04,21967
2023-06-03,22729
2023-06-02,21703
2023-06-01,21541
2023-05-31,21082
2023-05-30,20404
2023-05-29,19961
2023-05-28,22212
2023-05-27,23003
2023-05-26,22354
2023-05-25,22887
2023-05-24,23009
2023-05-23,22665
2023-05-22,22445
2023-05-21,24721
2023-05-20,25432
2023-05-19,24247
2023-05-18,24632
2023-05-17,24406
2023-05-16,23530
2023-05-15,23183
2023-05-14,26337
2023-05-13,26184
2023-05-12,24112
2023-05-11,24105
2023-05-10,23663
2023-05-09,22830
2023-05-08,21970
2023-05-07,24084
2023-05-06,24230
2023-05-05,22466
2023-05-04,21520
2023-05-03,20357
2023-05-02,20209
2023-05-01,24111
2023-04-30,25279
2023-04-29,25990
2023-04-28,23100
2023-04-27,22639
2023-04-26,22192
2023-04-25,21508
2023-04-24,21138
2023-04-23,24714
2023-04-22,26149
2023-04-21,25187
2023-04-20,22186
2023-04-19,21458
2023-04-18,20993
2023-04-17,20511
2023-04-16,22163
2023-04-15,22836
2023-04-14,22335
2023-04-13,22849
2023-04-12,22226
2023-04-11,21024
2023-04-10,20927
2023-04-09,24640
2023-04-08,26143
2023-04-07,24850
2023-04-06,22058
2023-04-05,20325
2023-04-04,19376
2023-04-03,18782
2023-04-02,20351
2023-04-01,20978
2023-03-31,21155
2023-03-30,22342
2023-03-29,23008
2023-03-28,22899
2023-03-27,22697
2023-03-26,24959
2023-03-25,25720
2023-03-24,25123
2023-03-23,25565
2023-03-22,25547
2023-03-21,25055
2023-03-20,25059
2023-03-19,27568
2023-03-18,28240
2023-03-17,27582
2023-03-16,27721
2023-03-15,27222
2023-03-14,26598
2023-03-13,26482
2023-03-12,28672
2023-03-11,29642
2023-03-10,29070
2023-03-09,29164
2023-03-08,29066
2023-03-07,28155
2023-03-06,27376
2023-03-05,28925
2023-03-04,29211
2023-03-03,27592
2023-03-02,27587
2023-03-01,27023
2023-02-28,26064
2023-02-27,26185
2023-02-26,27331
2023-02-25,28193
2023-02-24,26980
2023-02-23,26567
2023-02-22,29140
2023-02-21,34354
2023-02-20,36415
2023-02-19,36286
2023-02-18,34550
2023-02-17,29512
2023-02-16,28903
2023-02-15,29019
2023-02-14,29071
2023-02-13,29284
2023-02-12,31749
2023-02-11,32475
2023-02-10,31428
2023-02-09,31450
2023-02-08,30817
2023-02-07,29728
2023-02-06,28926
2023-02-05,30962
2023-02-04,31220
2023-02-03,28808
2023-02-02,27745
2023-02-01,27001
2023-01-31,25896
2023-01-30,28071
2023-01-29,32186
2023-01-28,33464
2023-01-27,32559
2023-01-26,32713
2023-01-25,32593
2023-01-24,31983
2023-01-23,32878
2023-01-22,35941
2023-01-21,36369
2023-01-20,35182
2023-01-19,34609
2023-01-18,33956
2023-01-17,33405
2023-01-16,33604
2023-01-15,36473
2023-01-14,36795
2023-01-13,34579
2023-01-12,33262
2023-01-11,32607
2023-01-10,32035
2023-01-09,31720
2023-01-08,34415
2023-01-07,35140
2023-01-06,32899
2023-01-05,31574
2023-01-04,30672
2023-01-03,31078
2023-01-02,34784
2023-01-01,38869
2022-12-31,39373
2022-12-30,35367
2022-12-29,32939
2022-12-28,31722
2022-12-27,31552
2022-12-26,33403
2022-12-25,36500
2022-12-24,34908
2022-12-23,29747
2022-12-22,27082
2022-12-21,25967
2022-12-20,25414
2022-12-19,25525
2022-12-18,28145
2022-12-17,28626
2022-12-16,26460
2022-12-15,25980
2022-12-14,25142
2022-12-13,24076
2022-12-12,24488
2022-12-11,28582
2022-12-10,28875
2022-12-09,25904
2022-12-08,25819
2022-12-07,24839
2022-12-06,23646
2022-12-05,23152
2022-12-04,26141
2022-12-03,26734
2022-12-02,24858
2022-12-01,24599
2022-11-30,23793
2022-11-29,23771
2022-11-28,23298
2022-11-27,27110
2022-11-26,28223
2022-11-25,27277
2022-11-24,26480
2022-11-23,27675
2022-11-22,27584
2022-11-21,26930
2022-11-20,28612
2022-11-19,29221
2022-11-18,27337
2022-11-17,25834
2022-11-16,25315
2022-11-15,27701
2022-11-14,29815
2022-11-13,32057
2022-11-12,31537
2022-11-11,28467
2022-11-10,28218
2022-11-09,27740
2022-11-08,26636
2022-11-07,25248
2022-11-06,27714
2022-11-05,28211
2022-11-04,25819
2022-11-03,23966
2022-11-02,23053
2022-11-01,23131
2022-10-31,23109
2022-10-30,27670
2022-10-29,28183
